Bulan,Jumlah_buku_dipinjam
1/17,49
2/17,44
3/17,83
4/17,65
5/17,49
6/17,40
7/17,53
8/17,49
9/17,95
10/17,126
11/17,137
12/17,74
1/18,52
2/18,47
3/18,87
4/18,67
5/18,50
6/18,42
7/18,56
8/18,51
9/18,98
10/18,130
11/18,142
12/18,79
1/19,97
2/19,178
3/19,184
4/19,129
5/19,139
6/19,57
7/19,104
8/19,87
9/19,258
10/19,184
11/19,182
12/19,194
1/20,207
2/20,344
3/20,168
4/20,32
5/20,0
6/20,0
7/20,194
8/20,311
9/20,191
10/20,22
11/20,267
12/20,3
1/21,1
2/21,17
3/21,152
4/21,76
5/21,8
6/21,35
7/21,5
8/21,8
9/21,113
10/21,212
11/21,50
12/21,144
1/22,140
2/22,105
3/22,151
4/22,92
5/22,101
6/22,162
7/22,133
8/22,102
9/22,383
10/22,274
11/22,95
12/22,297
1/23,96
2/23,98
3/23,86
4/23,107
5/23,60
6/23,82
7/23,93
8/23,93
9/23,101
10/23,96
11/23,133
12/23,77
1/24,137
2/24,132
3/24,98
4/24,93
5/24,54
6/24,29
7/24,67
8/24,109
