Bulan,Jumlah_buku_dipinjam
1/17,14
2/17,51
3/17,91
4/17,78
5/17,66
6/17,28
7/17,19
8/17,21
9/17,128
10/17,112
11/17,67
12/17,80
1/18,16
2/18,54
3/18,95
4/18,82
5/18,70
6/18,30
7/18,21
8/18,23
9/18,131
10/18,118
11/18,72
12/18,85
1/19,108
2/19,143
3/19,245
4/19,221
5/19,192
6/19,80
7/19,71
8/19,79
9/19,204
10/19,121
11/19,97
12/19,165
1/20,97
2/20,341
3/20,117
4/20,0
5/20,0
6/20,0
7/20,0
8/20,7
9/20,4
10/20,3
11/20,1
12/20,0
1/21,0
2/21,0
3/21,9
4/21,30
5/21,9
6/21,7
7/21,1
8/21,2
9/21,33
10/21,23
11/21,33
12/21,25
1/22,22
2/22,16
3/22,75
4/22,64
5/22,37
6/22,24
7/22,23
8/22,43
9/22,55
10/22,54
11/22,56
12/22,49
1/23,79
2/23,38
3/23,44
4/23,6
5/23,10
6/23,20
7/23,27
8/23,9
9/23,28
10/23,21
11/23,27
12/23,21
1/24,15
2/24,15
3/24,17
4/24,14
5/24,25
6/24,8
7/24,24
8/24,38
9/24,26
10/24,28
11/24,16
12/24,22
