Bulan,Jumlah_buku_dipinjam
1/17,5
2/17,5
3/17,10
4/17,17
5/17,6
6/17,3
7/17,9
8/17,3
9/17,3
10/17,4
11/17,8
12/17,5
1/18,8
2/18,12
3/18,13
4/18,35
5/18,7
6/18,6
7/18,10
8/18,12
9/18,8
10/18,7
11/18,10
12/18,6
1/19,34
2/19,18
3/19,4
4/19,22
5/19,4
6/19,6
7/19,8
8/19,1
9/19,33
10/19,14
11/19,27
12/19,13
1/20,8
2/20,28
3/20,8
4/20,10
5/20,7
6/20,11
7/20,14
8/20,9
9/20,12
10/20,12
11/20,15
12/20,11
1/21,8
2/21,3
3/21,9
4/21,11
5/21,10
6/21,12
7/21,15
8/21,8
9/21,12
10/21,15
11/21,15
12/21,13
1/22,6
2/22,10
3/22,7
4/22,10
5/22,18
6/22,3
7/22,1
8/22,4
9/22,12
10/22,3
11/22,7
12/22,12
1/23,3
2/23,5
3/23,7
4/23,12
5/23,11
6/23,9
7/23,7
8/23,5
9/23,9
10/23,12
11/23,10
12/23,8
1/24,8
2/24,16
3/24,11
4/24,8
5/24,12
6/24,10
7/24,17
8/24,18
9/24,24
10/24,11
11/24,11
12/24,17
