Bulan,Jumlah_buku_dipinjam
1/17,217
2/17,270
3/17,248
4/17,226
5/17,185
6/17,104
7/17,127
8/17,167
9/17,159
10/17,220
11/17,185
12/17,182
1/18,230
2/18,280
3/18,255
4/18,260
5/18,192
6/18,110
7/18,136
8/18,128
9/18,177
10/18,230
11/18,198
12/18,188
1/19,300
2/19,178
3/19,230
4/19,201
5/19,133
6/19,85
7/19,124
8/19,143
9/19,262
10/19,193
11/19,188
12/19,145
1/20,306
2/20,309
3/20,150
4/20,0
5/20,0
6/20,0
7/20,2
8/20,3
9/20,11
10/20,6
11/20,2
12/20,1
1/21,0
2/21,12
3/21,31
4/21,12
5/21,3
6/21,3
7/21,5
8/21,3
9/21,20
10/21,65
11/21,42
12/21,35
1/22,72
2/22,28
3/22,52
4/22,51
5/22,32
6/22,27
7/22,37
8/22,45
9/22,120
10/22,94
11/22,114
12/22,94
1/23,68
2/23,70
3/23,59
4/23,33
5/23,59
6/23,23
7/23,28
8/23,27
9/23,19
10/23,19
11/23,126
12/23,50
1/24,53
2/24,69
3/24,31
4/24,32
5/24,32
6/24,29
7/24,62
8/24,93
