Bulan,Jumlah_buku_dipinjam
1/17,254
2/17,337
3/17,692
4/17,547
5/17,346
6/17,192
7/17,149
8/17,255
9/17,628
10/17,875
11/17,716
12/17,600
1/18,265
2/18,351
3/18,710
4/18,559
5/18,360
6/18,190
7/18,150
8/18,252
9/18,630
10/18,495
11/18,755
12/18,620
1/19,615
2/19,555
3/19,123
4/19,705
5/19,765
6/19,360
7/19,266
8/19,413
9/19,134
10/19,267
11/19,649
12/19,690
1/20,598
2/20,550
3/20,469
4/20,369
5/20,230
6/20,104
7/20,94
8/20,24
9/20,47
10/20,18
11/20,23
12/20,11
1/21,43
2/21,24
3/21,77
4/21,81
5/21,25
6/21,58
7/21,56
8/21,22
9/21,133
10/21,193
11/21,228
12/21,105
1/22,63
2/22,132
3/22,201
4/22,172
5/22,221
6/22,241
7/22,144
8/22,170
9/22,200
10/22,191
11/22,238
12/22,180
1/23,80
2/23,113
3/23,154
4/23,43
5/23,145
6/23,137
7/23,22
8/23,40
9/23,55
10/23,53
11/23,78
12/23,33
1/24,31
2/24,31
3/24,46
4/24,26
5/24,39
6/24,38
7/24,58
8/24,30
9/24,95
10/24,128
11/24,60
12/24,77
