Bulan,Jumlah_buku_dipinjam
1/17,196
2/17,300
3/17,682
4/17,475
5/17,295
6/17,171
7/17,123
8/17,163
9/17,577
10/17,622
11/17,468
12/17,422
1/18,205
2/18,310
3/18,701
4/18,502
5/18,295
6/18,180
7/18,176
8/18,128
9/18,580
10/18,640
11/18,475
12/18,430
1/19,422
2/19,404
3/19,833
4/19,581
5/19,470
6/19,230
7/19,218
8/19,274
9/19,909
10/19,559
11/19,457
12/19,433
1/20,411
2/20,935
3/20,333
4/20,211
5/20,106
6/20,63
7/20,21
8/20,13
9/20,53
10/20,33
11/20,29
12/20,3
1/21,1
2/21,7
3/21,75
4/21,43
5/21,23
6/21,42
7/21,11
8/21,12
9/21,232
10/21,195
11/21,139
12/21,112
1/22,111
2/22,82
3/22,235
4/22,113
5/22,132
6/22,91
7/22,64
8/22,104
9/22,134
10/22,111
11/22,169
12/22,130
1/23,48
2/23,62
3/23,127
4/23,119
5/23,50
6/23,222
7/23,126
8/23,139
9/23,53
10/23,42
11/23,74
12/23,214
1/24,50
2/24,96
3/24,118
4/24,120
5/24,96
6/24,133
7/24,103
8/24,247
9/24,177
10/24,71
11/24,90
12/24,122
