Bulan,Jumlah_buku_dipinjam
1/17,34
2/17,23
3/17,62
4/17,36
5/17,16
6/17,14
7/17,31
8/17,36
9/17,46
10/17,64
11/17,48
12/17,41
1/18,36
2/18,25
3/18,65
4/18,40
5/18,18
6/18,16
7/18,18
8/18,32
9/18,39
10/18,50
11/18,52
12/18,45
1/19,88
2/19,41
3/19,121
4/19,69
5/19,39
6/19,11
7/19,49
8/19,44
9/19,94
10/19,74
11/19,66
12/19,56
1/20,57
2/20,61
3/20,39
4/20,0
5/20,0
6/20,0
7/20,0
8/20,0
9/20,1
10/20,0
11/20,0
12/20,0
1/21,0
2/21,2
3/21,13
4/21,14
5/21,1
6/21,0
7/21,1
8/21,2
9/21,16
10/21,19
11/21,4
12/21,8
1/22,3
2/22,9
3/22,24
4/22,17
5/22,8
6/22,15
7/22,4
8/22,15
9/22,74
10/22,9
11/22,25
12/22,18
1/23,10
2/23,14
3/23,5
4/23,1
5/23,11
6/23,12
7/23,17
8/23,16
9/23,10
10/23,10
11/23,32
12/23,8
1/24,7
2/24,6
3/24,5
4/24,3
5/24,9
6/24,6
7/24,23
8/24,59
